employee_id,age,education_level,years_at_company,previous_experience_years,department,position_level,team_size,direct_reports,commute_time_min,work_mode,workspace_quality,noise_level,has_modern_equipment,software_training_hours,tools_satisfaction,sleep_hours_avg,exercise_days_week,stress_level,sick_days_last_year,salary_satisfaction,manager_quality,career_growth_score,work_life_balance,has_flexible_hours,has_health_insurance,has_meal_voucher,professional_development_budget,productive_hours_week
EMP00197,23,Superior,19,24,Financeiro,Júnior,26,9,73.0,Remoto,Bom,Baixo,Sim,28.0,10,4.8,6.0,Alto,13,10,3,8,1,Não,Sim,Sim,9886,30.7
EMP00987,35,Superior Incompleto,20,3,Operações,Sênior,12,9,106.0,Presencial,Bom,Moderado,Não,4.0,2,6.7,,Moderado,11,2,10,2,9,Sim,Não,Sim,1473,29.8
EMP01091,44,Ensino Médio,15,21,RH,Pleno,17,12,96.0,Remoto,Ruim,Alto,Não,37.0,6,8.0,4.0,Alto,19,1,2,3,6,Não,Sim,Não,4707,25.4
EMP00388,64,Superior,3,16,TI,Júnior,14,1,115.0,Híbrido,Bom,Moderado,Sim,86.0,9,8.0,0.0,Moderado,9,4,9,5,4,Não,Sim,Não,2345,31.1
EMP02222,37,Superior,4,29,Vendas,Pleno,20,10,37.0,Presencial,Ruim,Moderado,Não,6.0,1,6.5,1.0,Alto,7,1,8,2,2,Não,Sim,Não,2481,18.4
EMP00169,54,Superior Incompleto,10,6,Vendas,Pleno,22,10,68.0,Híbrido,Bom,Moderado,Sim,79.0,1,8.3,6.0,Baixo,2,1,1,3,3,Não,Não,Não,8105,29.7
EMP01379,52,Superior,3,29,RH,Júnior,15,5,54.0,Presencial,Adequado,Alto,Sim,75.0,4,9.4,2.0,Alto,8,6,10,10,9,Sim,Sim,Não,4473,29.9
EMP02463,56,Superior Incompleto,9,23,Vendas,Pleno,4,2,74.0,Presencial,Adequado,Baixo,Não,7.0,1,8.9,7.0,Alto,6,6,6,3,8,Sim,Sim,Sim,4818,26.0
EMP00706,31,Superior,4,2,Marketing,Pleno,29,13,112.0,Remoto,Ruim,Alto,Não,37.0,3,8.3,7.0,Alto,13,3,8,9,5,Não,Sim,Sim,9963,20.9
EMP02077,57,Superior Incompleto,4,13,Operações,Pleno,14,14,54.0,Remoto,Adequado,Alto,Sim,59.0,1,4.6,6.0,Baixo,14,7,4,9,7,Sim,Sim,Sim,8476,31.5
EMP01849,44,Ensino Médio,11,22,Vendas,Pleno,16,10,19.0,Híbrido,Bom,Moderado,Sim,51.0,2,,7.0,Baixo,19,6,8,7,1,Não,Sim,Sim,5476,40.0
EMP01412,23,Superior,6,22,TI,Sênior,28,1,35.0,Remoto,Bom,Alto,Sim,82.0,3,4.0,6.0,Moderado,10,10,6,9,3,Não,Sim,Não,2767,35.2
EMP00431,37,Superior Incompleto,3,18,Vendas,Sênior,22,13,109.0,Remoto,Ruim,Moderado,Sim,38.0,10,8.1,2.0,Moderado,12,9,5,5,7,Não,Sim,Sim,8652,28.2
EMP02148,32,Superior,7,20,RH,Gerente,8,9,68.0,Híbrido,Bom,Moderado,Não,29.0,10,7.0,3.0,Alto,20,5,8,6,7,Não,Sim,Não,113,36.0
EMP02493,23,Pós-graduação,9,9,TI,Pleno,24,14,13.0,Presencial,Adequado,Alto,Não,38.0,4,6.7,4.0,Muito Alto,17,8,4,8,5,Sim,Sim,Não,257,24.3
EMP01620,32,Superior,1,30,RH,Coordenador,30,14,57.0,Presencial,Bom,Moderado,Sim,46.0,1,8.4,4.0,Baixo,8,7,10,10,2,Não,Não,Não,927,40.0
EMP00862,29,Pós-graduação,14,26,Vendas,Gerente,26,7,42.0,Remoto,Excelente,Alto,Não,33.0,1,,,Moderado,6,8,6,5,9,Sim,Sim,Sim,1002,39.9
EMP00283,39,Ensino Médio,12,18,Operações,Sênior,13,12,107.0,Presencial,Excelente,Moderado,Sim,30.0,10,4.6,2.0,Alto,10,3,10,5,6,Sim,Sim,Sim,2693,29.6
EMP01514,36,Superior Incompleto,12,11,RH,Júnior,12,0,44.0,Híbrido,Excelente,Baixo,Não,100.0,5,8.8,1.0,Alto,12,1,7,7,1,Não,Sim,Sim,5221,29.7
EMP00650,29,Pós-graduação,14,29,Vendas,Sênior,9,15,58.0,  Remoto,Adequado,Alto,Sim,73.0,7,6.5,3.0,Muito Alto,0,6,7,8,6,Sim,Não,Não,8238,31.3
EMP01076,49,Superior Incompleto,15,16,Marketing,Pleno,7,0,94.0,Híbrido,Adequado,Baixo,Não,83.0,4,6.9,2.0,Moderado,1,7,4,5,3,Não,Sim,Não,7385,27.4
EMP01356,33,Superior,17,26,Operações,Pleno,12,14,87.0,Remoto,Bom,Alto,Sim,58.0,8,7.0,1.0,Moderado,15,6,9,5,4,Sim,Sim,Sim,2048,36.9
EMP01383,39,Ensino Médio,1,19,Vendas,Coordenador,26,5,42.0,Híbrido,Adequado,Alto,Não,72.0,5,8.4,7.0,Moderado,9,9,9,2,10,Sim,Sim,Não,8725,37.1
EMP01088,42,Superior Incompleto,6,24,Marketing,Pleno,3,10,80.0,Híbrido,Adequado,Moderado,Sim,72.0,4,5.3,3.0,Baixo,8,9,5,4,2,Sim,Sim,Não,9641,39.4
EMP02143,36,Pós-graduação,13,4,Operações,Sênior,24,10,89.0,Híbrido,Excelente,Moderado,Não,16.0,6,9.7,5.0,Alto,19,10,8,4,8,Não,Sim,Não,8627,31.0
EMP01217,24,Superior Incompleto,9,14,Financeiro,Pleno,22,13,98.0,Remoto,Ruim,Alto,Não,27.0,8,8.9,3.0,Alto,8,3,4,5,9,Sim,Sim,Não,2176,27.4
EMP00938,23,Ensino Médio,5,8,TI,Pleno,16,9,33.0,Híbrido,Adequado,Moderado,Não,58.0,3,4.9,7.0,Moderado,20,10,1,4,9,Não,Não,Não,7568,28.9
EMP00057,57,Pós-graduação,6,1,RH,Sênior,11,11,105.0,Presencial,Adequado,Alto,Sim,19.0,9,6.3,5.0,Baixo,12,7,9,4,9,Sim,Sim,Sim,684,31.9
EMP00932,44,Ensino Médio,6,23,TI,Pleno,14,5,120.0,Remoto,Ruim,Moderado,Sim,65.0,10,6.1,,Alto,12,9,6,5,8,Sim,Sim,Não,2773,28.4
EMP00980,63,Superior,2,30,Vendas,Sênior,16,9,58.0,Híbrido,Adequado,Moderado,Não,17.0,6,8.7,5.0,Moderado,14,5,2,2,1,Sim,Sim,Não,1449,25.4
EMP00644,37,Ensino Médio,0,23,Operações,Júnior,24,8,101.0,Híbrido,Adequado,Moderado,Sim,28.0,1,8.9,4.0,Baixo,0,1,5,10,4,Sim,Não,Não,3450,34.3
EMP02437,61,Pós-graduação,17,22,Financeiro,Pleno,8,15,83.0,Híbrido,Ruim,Moderado,Sim,32.0,2,9.0,1.0,Moderado,2,1,7,10,7,Sim,Não,Sim,9153,35.6
EMP00045,35,Superior,20,0,TI,Sênior,10,1,,Híbrido,Adequado,Moderado,Sim,80.0,9,4.6,2.0,Muito Alto,10,7,8,8,8,Sim,Sim,Sim,2197,24.8
EMP01463,29,ENSINO MÉDIO,3,8,TI,Gerente,18,4,55.0,Presencial,Ruim,Baixo,Não,59.0,1,6.0,,Baixo,20,4,2,1,6,Não,Sim,Não,5440,23.6
EMP01201,28,Ensino Médio,13,1,Marketing,Sênior,28,1,80.0,Presencial,Bom,Moderado,Sim,23.0,3,5.5,6.0,Moderado,19,3,9,9,4,Não,Sim,Sim,2140,29.1
EMP01778,43,Superior,4,27,TI,Pleno,23,11,113.0,Remoto,Bom,Baixo,Não,62.0,6,7.7,0.0,Moderado,6,4,10,1,2,Não,Não,Não,758,30.7
EMP00354,61,Pós-graduação,18,19,Operações,Júnior,5,8,49.0,Presencial,Excelente,Baixo,Sim,4.0,6,6.1,1.0,Alto,0,5,9,9,2,Sim,Não,Não,1575,36.6
EMP01927,45,Superior,1,0,Vendas,Júnior,23,2,72.0,Híbrido,Adequado,Moderado,Não,5.0,6,9.7,3.0,Moderado,6,10,8,4,2,Não,Não,Não,5456,33.4
EMP00458,53,Superior,19,24,RH,Pleno,13,1,20.0,Híbrido,Excelente,Alto,Sim,43.0,7,9.1,0.0,Moderado,7,3,8,8,2,Sim,Sim,Não,6609,36.5
EMP00176,27,ENSINO MÉDIO,11,28,Vendas,Pleno,17,3,10.0,Híbrido,Bom,Baixo,Sim,54.0,10,,0.0,Moderado,14,8,8,3,4,Sim,Sim,Não,9518,34.9
EMP00766,45,Superior Incompleto,19,23,TI,Júnior,25,5,106.0,Remoto,Bom,Baixo,Sim,10.0,7,6.2,7.0,Muito Alto,3,1,6,10,4,Sim,Sim,Sim,2333,34.0
EMP02151,35,Superior Incompleto,1,12,Vendas,Júnior,4,5,18.0,Híbrido,Bom,Moderado,Não,66.0,4,9.8,5.0,Alto,20,6,10,4,5,Não,Sim,Não,7150,28.6
EMP00480,54,Superior,15,22,Operações,Sênior,5,12,61.0,Remoto,Bom,Moderado,Sim,6.0,8,7.5,5.0,Moderado,6,7,1,7,3,Não,Sim,Não,8901,36.7
EMP01568,34,Ensino Médio,20,22,RH,Sênior,15,14,96.0,Híbrido,Bom,Alto,Não,80.0,9,7.7,7.0,Alto,0,10,2,3,4,Não,Sim,Sim,8166,34.9
EMP01318,38,Superior,7,27,Financeiro,Pleno,12,8,40.0,Presencial,Adequado,Baixo,Sim,88.0,6,8.5,3.0,Alto,6,10,1,8,2,Não,Não,Sim,479,36.8
EMP01638,50,ENSINO MÉDIO,12,22,Vendas,Júnior,30,14,89.0,Presencial,Adequado,Alto,Sim,16.0,1,9.3,5.0,Moderado,17,3,9,9,1,Sim,Sim,Sim,4022,31.7
EMP02185,25,Pós-graduação,19,17,Marketing,Pleno,28,6,90.0,Remoto,Adequado,Moderado,Sim,64.0,9,6.0,2.0,Muito Alto,20,4,4,1,4,Sim,Sim,Sim,8581,38.9
EMP00809,30,Ensino Médio,20,22,Operações,Gerente,26,5,,Híbrido,Adequado,Moderado,Sim,,5,6.7,0.0,Alto,8,7,3,4,9,Sim,Sim,Não,2562,30.3
EMP01566,23,Superior Incompleto,15,23,Operações,Júnior,21,13,47.0,Remoto,Bom,Moderado,Sim,24.0,5,5.7,0.0,Moderado,12,2,4,7,1,Não,Sim,Sim,8179,32.0
EMP00044,46,Superior,18,26,Marketing,Sênior,21,5,43.0,Híbrido,Adequado,Baixo,Não,79.0,7,4.7,6.0,Baixo,17,9,9,3,3,Não,Não,Sim,7068,38.6
EMP00451,31,Ensino Médio,5,16,Vendas,Pleno,24,11,35.0,Presencial,Excelente,Moderado,Não,100.0,6,6.3,0.0,Baixo,4,7,6,3,1,Sim,Sim,Não,8135,33.0
EMP00782,61,Superior Incompleto,15,0,TI,Coordenador,7,8,102.0,Remoto,Ruim,Baixo,Sim,44.0,5,6.1,4.0,Moderado,11,5,8,7,1,Não,Não,Não,7871,26.8
EMP00325,56,Superior Incompleto,17,7,Vendas,Pleno,15,7,119.0,Híbrido,Bom,Alto,Sim,83.0,6,5.6,4.0,Muito Alto,18,1,1,9,2,Não,Sim,Não,6217,19.7
EMP00840,58,Superior,19,26,Operações,Pleno,23,0,75.0,Híbrido,Adequado,Moderado,Sim,53.0,4,6.3,5.0,Moderado,19,4,1,8,1,Não,Sim,Não,1903,24.2
EMP00757,38,Superior,11,24,Vendas,Coordenador,23,6,85.0,Remoto,Bom,Moderado,Não,11.0,5,7.6,4.0,Alto,17,2,8,8,9,Sim,Sim,Não,2909,33.4
EMP00974,26,Superior,17,16,Vendas,Coordenador,28,6,100.0,Presencial,Adequado,Moderado,Sim,91.0,10,6.3,3.0,Moderado,8,8,10,7,7,Sim,Sim,Não,6269,36.1
EMP02298,23,Superior Incompleto,13,26,TI,Pleno,26,3,28.0,Presencial,Bom,Baixo,Não,21.0,5,6.1,1.0,Moderado,5,10,7,1,5,Não,Não,Não,4122,37.2
EMP00510,58,Ensino Médio,15,6,Operações,Pleno,5,6,115.0,Híbrido,Adequado,Baixo,Sim,98.0,10,9.9,1.0,Moderado,2,9,2,6,4,Sim,Não,Sim,7821,35.5
EMP00611,60,Superior,13,20,Marketing,Gerente,3,6,78.0,Remoto,Ruim,Baixo,Sim,0.0,6,5.6,4.0,Baixo,0,3,9,5,1,Sim,Não,Sim,9908,39.2
EMP00621,53,Superior Incompleto,11,23,TI,Pleno,21,1,16.0,Remoto,Bom,Moderado,Sim,28.0,7,5.8,6.0,Muito Alto,0,10,5,1,1,Não,Sim,Sim,6289,31.1
EMP02022,47,Superior,1,27,RH,Pleno,12,10,10.0,Presencial,Excelente,Alto,Sim,14.0,2,6.0,7.0,Baixo,0,4,4,6,3,Sim,Sim,Sim,564,40.0
EMP02059,57,Superior,2,21,Marketing,Júnior,24,8,60.0,Presencial,Bom,Moderado,Sim,89.0,10,8.8,2.0,Baixo,5,7,10,3,8,Sim,Sim,Sim,229,39.6
EMP01377,50,Superior,4,0,Marketing,Coordenador,28,4,78.0,Remoto,Excelente,Moderado,Sim,38.0,4,6.3,1.0,Moderado,5,9,9,10,9,Não,Não,Não,7261,39.1
EMP00679,22,Pós-graduação,11,10,Operações,Pleno,11,4,26.0,Híbrido,Bom,Baixo,Sim,51.0,7,7.7,7.0,Moderado,3,5,7,3,8,Sim,Não,Sim,2788,40.0
EMP01358,47,Superior Incompleto,13,16,Operações,Júnior,18,12,25.0,Híbrido,Bom,Moderado,Sim,94.0,4,7.3,4.0,Moderado,16,5,2,6,3,Sim,Sim,Sim,3785,38.6
EMP01232,38,Superior,20,17,Marketing,Sênior,5,1,88.0,Híbrido,Bom,Baixo,Sim,94.0,1,8.6,5.0,Alto,17,9,10,8,1,Não,Não,Sim,9977,33.9
EMP02429,38,Pós-graduação,1,19,TI,Júnior,19,15,45.0,Híbrido,Adequado,Moderado,Sim,55.0,9,8.9,2.0,Muito Alto,13,9,2,6,3,Sim,Não,Não,5883,28.2
EMP02091,60,Superior Incompleto,13,26,TI,Júnior,23,14,92.0,Híbrido,Excelente,Moderado,Sim,57.0,8,4.2,0.0,Alto,13,6,6,4,10,Não,Sim,Não,1946,38.5
EMP00737,42,Pós-graduação,14,9,TI,Sênior,8,10,49.0,Remoto,Ruim,Moderado,Não,4.0,6,6.7,6.0,Moderado,18,2,3,6,6,Sim,Sim,Sim,9800,33.6
EMP00531,41,Superior,17,6,TI,Pleno,8,4,79.0,Híbrido,Bom,Moderado,Sim,34.0,5,8.4,7.0,Alto,0,10,1,7,8,Sim,Sim,Sim,885,40.0
EMP02485,53,Ensino Médio,18,24,Marketing,Pleno,24,1,83.0,Presencial,Bom,Baixo,Sim,54.0,3,9.5,2.0,Muito Alto,9,10,6,7,5,Sim,Sim,Sim,7737,24.5
EMP00481,61,Superior,18,18,TI,Pleno,20,10,55.0,Híbrido,Adequado,Moderado,Não,57.0,8,8.2,2.0,Alto,1,4,7,4,5,Não,Sim,Sim,5088,26.8
EMP01132,43,Pós-graduação,3,17,Vendas,Pleno,3,4,97.0,Remoto,Excelente,Moderado,Sim,31.0,3,6.5,5.0,Muito Alto,13,10,7,7,4,Sim,Não,Não,3037,34.2
EMP02381,56,Superior Incompleto,8,0,RH,Júnior,25,10,26.0,Presencial,Adequado,Baixo,Não,22.0,8,5.1,0.0,Moderado,0,8,4,10,7,Não,Não,Não,1931,38.1
EMP00970,51,Pós-graduação,7,30,RH,Gerente,11,0,96.0,Remoto,Excelente,Moderado,Não,94.0,7,8.6,6.0,Alto,5,5,7,1,1,Não,Sim,Sim,8702,31.5
EMP02033,29,Superior Incompleto,16,10,Financeiro,Júnior,17,5,57.0,Remoto,Excelente,Moderado,Sim,41.0,1,4.3,7.0,Alto,12,8,8,4,10,Não,Sim,Sim,3708,37.8
EMP01400,60,Superior Incompleto,11,24,TI,Pleno,29,2,86.0,Presencial,Bom,Baixo,Sim,47.0,10,8.5,1.0,Baixo,5,9,1,4,1,Sim,Não,Não,9625,34.2
EMP00802,62,Superior,11,13,Marketing,Júnior,22,2,80.0,Remoto,Excelente,Moderado,Sim,71.0,8,7.9,4.0,Moderado,2,3,3,8,7,Sim,Sim,Sim,3209,40.0
EMP00189,62,Superior,20,8,Marketing,Sênior,26,1,97.0,Presencial,Bom,Alto,Sim,99.0,1,7.6,5.0,Moderado,2,5,6,7,8,Não,Sim,Sim,6795,36.8
EMP01821,49,Ensino Médio,6,14,Financeiro,Júnior,10,4,72.0,Remoto,Adequado,Baixo,Não,9.0,1,5.9,0.0,Moderado,11,5,6,10,3,Sim,Não,Sim,8500,30.4
EMP02131,57,Superior,1,12,TI,Júnior,8,6,54.0,Presencial,Bom,Moderado,Sim,15.0,3,6.7,1.0,Alto,11,7,5,1,4,Sim,Sim,Não,9125,30.5
EMP02329,25,Ensino Médio,14,21,Vendas,Sênior,16,14,158.0,Híbrido,Bom,Baixo,Sim,80.0,2,8.5,1.0,Muito Alto,19,8,1,7,10,Sim,Sim,Não,4909,29.5
EMP01972,35,Superior Incompleto,14,17,RH,Sênior,11,7,32.0,Remoto,Bom,Moderado,Não,14.0,4,6.9,3.0,Alto,1,10,4,10,2,Sim,Sim,Sim,9597,31.7
EMP00252,28,Superior,15,17,RH,Pleno,23,10,88.0,Híbrido,Bom,Moderado,Sim,2.0,3,6.0,1.0,Moderado,9,1,9,10,10,Não,Sim,Não,9401,29.4
EMP00260,53,Superior Incompleto,8,13,Financeiro,Pleno,9,5,39.0,Presencial,Excelente,Baixo,Sim,45.0,8,4.3,5.0,Alto,2,2,3,10,10,Não,Sim,Sim,2482,36.9
EMP01303,54,Superior,8,15,RH,Sênior,13,4,66.0,Presencial,Bom,Moderado,Não,75.0,2,9.7,6.0,Alto,2,7,3,10,9,Sim,Sim,Não,9222,35.3
EMP01678,29,Superior Incompleto,15,21,RH  ,Pleno,14,0,67.0,Presencial,Bom,Moderado,Não,24.0,1,9.9,1.0,Alto,4,7,1,9,10,Não,Sim,Não,458,25.8
EMP01762,30,Superior,12,27,TI,Pleno,13,8,67.0,Presencial,Excelente,Baixo,Não,32.0,1,5.2,2.0,Muito Alto,17,2,10,3,10,Sim,Sim,Sim,1891,29.0
EMP02118,37,Ensino Médio,20,13,TI,Sênior,5,14,48.0,Presencial,Ruim,Baixo,Sim,21.0,2,6.0,7.0,Muito Alto,3,5,4,8,3,Não,Sim,Sim,7320,19.0
EMP00441,37,Superior,16,6,Operações,Júnior,11,4,82.0,Remoto,Bom,Moderado,Sim,63.0,8,4.3,5.0,Baixo,7,8,1,2,8,Não,Sim,Sim,7211,40.0
EMP01533,61,Superior,5,13,TI,Júnior,7,8,45.0,Remoto,Adequado,Moderado,Não,33.0,9,8.1,3.0,Moderado,10,2,7,3,7,Não,Não,Sim,7271,33.8
EMP00219,43,Superior,17,22,RH,Pleno,17,13,17.0,Presencial,Bom,Baixo,Sim,63.0,3,7.7,3.0,Moderado,8,8,10,2,6,Não,Não,Não,6683,40.0
EMP01079,50,Ensino Médio,11,15,RH,Júnior,6,12,97.0,Híbrido,Bom,Alto,Sim,30.0,9,6.2,4.0,Alto,14,2,3,2,10,Sim,Sim,Sim,380,27.4
EMP01115,45,Superior,17,20,Vendas,Júnior,19,0,27.0,Híbrido,Bom,Moderado,Não,70.0,8,5.8,4.0,Moderado,2,3,3,5,10,Não,Sim,Não,3763,40.0
EMP01793,29,Superior Incompleto,3,3,Marketing,Sênior,16,1,19.0,Remoto,Ruim,Baixo,Sim,6.0,1,8.5,2.0,Alto,3,8,4,6,1,Sim,Sim,Sim,7235,33.9
EMP00195,38,Pós-graduação,12,22,TI,Júnior,3,9,67.0,Presencial,Adequado,Moderado,Sim,29.0,9,7.1,5.0,Moderado,12,2,1,8,8,Não,Sim,Sim,5106,30.8
EMP02479,26,Pós-graduação,2,19,Marketing,Pleno,25,1,33.0,Híbrido,Excelente,Moderado,Sim,61.0,7,8.8,4.0,Baixo,1,7,10,6,10,Não,Sim,Não,7370,40.0
EMP01407,39,Superior,16,24,RH,Sênior,5,14,100.0,Presencial,Bom,Moderado,Sim,63.0,7,6.7,3.0,Baixo,16,4,2,7,5,Sim,Sim,Não,7746,36.6
EMP01062,61,Ensino Médio,12,30,Operações,Júnior,22,4,77.0,Presencial,Excelente,Alto,Sim,53.0,3,8.5,1.0,Moderado,2,1,5,7,1,Não,Não,Sim,3284,31.3
EMP01725,33,Superior,19,12,RH,Júnior,8,0,86.0,Híbrido,Bom,Baixo,Sim,56.0,3,4.9,2.0,Moderado,2,7,10,9,5,Sim,Sim,Não,6611,40.0
EMP02070,48,Pós-graduação,8,21,TI,Júnior,17,4,22.0,Presencial,Bom,Baixo,Sim,38.0,2,9.2,0.0,Baixo,9,7,2,6,6,Não,Sim,Não,3295,34.8
EMP00901,51,Pós-graduação,1,21,Marketing,Pleno,4,1,52.0,Presencial,Bom,Moderado,Sim,72.0,5,7.5,7.0,Alto,11,7,8,6,6,Sim,Sim,Não,1151,35.8
EMP00094,29,Superior,7,1,TI,Pleno,16,13,40.0,Presencial,Bom,Moderado,Não,15.0,3,6.2,3.0,Alto,7,9,5,5,2,Não,Não,Sim,5239,35.9
EMP02156,28,Superior Incompleto,19,26,Operações,Sênior,14,0,18.0,Remoto,Bom,Moderado,Não,95.0,5,5.2,2.0,Muito Alto,19,3,2,1,5,Sim,Sim,Sim,9629,28.2
