restaurant_id,location_type,neighborhood_safety,parking_available,outdoor_seating,cuisine_type,price_range,seating_capacity,years_in_business,waiters_count,avg_service_time_min,accepts_reservations,delivery_service,health_inspection_score,chef_experience_years,menu_variety_items,daily_specials,has_website,social_media_followers,instagram_posts_count,online_reviews_count,live_music,kids_friendly,accepts_groups,average_rating
REST00197,Subúrbio,Baixa,Sim,Não,Brasileira,Caro,77,30,8.0,68,Não,Sim,70.53,17.0,34,Não,Não,41623.0,236,822,Sim,Não,Sim,4.29
REST00987,Shopping,Média,Não,Não,Vegetariana,Econômico,190,0,12.0,21,Sim,Sim,74.45,9.0,47,Sim,Sim,26943.0,787,233,Sim,Sim,Sim,5.0
REST01091,Shopping,Baixa,Não,Não,Árabe,Econômico,56,28,7.0,65,Não,Sim,68.83,24.0,12,Sim,Sim,37736.0,769,521,Sim,Sim,Sim,4.96
REST00388,Bairro Nobre,Alta,Sim,Não,Italiana,Moderado,154,15,7.0,43,Sim,Sim,90.75,19.0,57,Sim,Sim,12623.0,385,1085,Não,Sim,Sim,5.0
REST02222,Bairro Nobre,Média,Não,Não,Japonesa,Caro,55,16,4.0,63,Não,Não,64.31,2.0,46,Não,Sim,31194.0,165,78,Não,Sim,Sim,4.42
REST00169,Centro,Baixa,Não,Não,Brasileira,Moderado,83,14,12.0,51,Não,Não,66.8,4.0,121,Não,Sim,27727.0,293,790,Não,Sim,Sim,4.0
REST01379,Centro,Média,Sim,Não,Italiana,Econômico,95,22,4.0,28,Sim,Não,81.72,23.0,73,Sim,Não,32531.0,992,1996,Não,Sim,Não,5.0
REST02463,Subúrbio,Baixa,Sim,Sim,Vegetariana,Caro,141,1,12.0,68,Não,Sim,69.43,4.0,58,Sim,Sim,48509.0,400,841,Sim,Sim,Sim,3.5
REST00706,Periferia,Alta,Não,Não,Americana,Moderado,41,3,17.0,15,Sim,Sim,83.6,1.0,75,Sim,Sim,45239.0,899,1208,Sim,Não,Não,5.0
REST02077,Centro,Alta,Sim,Não,Americana,Caro,55,10,13.0,66,Sim,Sim,71.51,7.0,99,Sim,Sim,45579.0,501,181,Não,Sim,Sim,4.77
REST01849,Periferia,Alta,Não,Não,Vegetariana,Econômico,171,2,17.0,15,Sim,Sim,,1.0,143,Não,Sim,13127.0,506,233,Não,Sim,Não,4.54
REST01412,Subúrbio,Baixa,Sim,Não,Árabe,Caro,172,5,2.0,42,Sim,Sim,65.92,3.0,72,Sim,Sim,47639.0,249,1939,Não,Não,Sim,4.03
REST00431,Bairro Nobre,Baixa,Sim,Não,Italiana,Moderado,42,8,20.0,87,Não,Sim,86.68,25.0,66,Sim,Não,3012.0,825,1016,Sim,Não,Não,5.0
REST02148,Shopping,Média,Não,Não,Japonesa,Moderado,82,16,14.0,43,Sim,Sim,77.0,24.0,75,Não,Sim,6224.0,169,1011,Sim,Sim,Sim,5.0
REST02493,Subúrbio,Alta,Não,Sim,Japonesa,Moderado,128,27,4.0,31,Não,Não,63.57,25.0,11,Não,Não,26069.0,629,1633,Não,Não,Sim,5.0
REST01620,Bairro Nobre,Média,Não,Não,Americana,Muito Caro,74,21,10.0,24,Sim,Não,60.42,29.0,93,Não,Sim,16159.0,865,1458,Não,Não,Sim,5.0
REST00862,Bairro Nobre,Alta,Sim,Não,Americana,Moderado,38,5,17.0,43,Não,Não,91.39,10.0,147,Não,Não,16294.0,646,981,Não,Sim,Sim,5.0
REST00283,Centro,Média,Não,Não,Japonesa,Moderado,185,0,6.0,62,Não,Sim,70.46,20.0,129,Sim,Sim,9785.0,176,1927,Não,Não,Sim,4.33
REST01514,Shopping,Média,Sim,Não,Americana,Econômico,42,4,4.0,22,Sim,Sim,80.82,9.0,95,Não,Sim,22434.0,78,702,Não,Não,Sim,5.0
REST00650,Bairro Nobre,Alta,Sim,Não,Árabe,Caro,84,16,6.0,42,Não,Não,52.75,17.0,37,Sim,Sim,824.0,348,345,Não,Não,Sim,4.98
REST01076,Centro,Média,Sim,Não,Japonesa,Caro,77,28,14.0,22,Sim,Sim,61.64,15.0,145,Sim,Sim,20530.0,714,647,Não,Sim,Não,5.0
REST01356,Periferia,Alta,Não,Não,Japonesa,Moderado,161,19,10.0,20,Sim,Sim,74.93,26.0,37,Não,Não,16839.0,970,985,Não,Sim,Sim,5.0
REST01383,Bairro Nobre,Alta,Sim,Sim,Italiana,Caro,121,5,12.0,68,Sim,Sim,82.51,20.0,50,Sim,Não,21878.0,473,769,Não,Sim,Sim,5.0
REST01088,Subúrbio,Média,Sim,Não,Italiana,Caro,199,25,15.0,17,Não,Sim,84.67,21.0,45,Não,Não,7245.0,488,51,Sim,Sim,Sim,4.93
REST02143,Centro,Média,Sim,Sim,Italiana,Caro,142,6,6.0,49,Sim,Sim,73.88,22.0,17,Sim,Sim,28131.0,300,1174,Não,Não,Sim,5.0
REST01217,Subúrbio,Média,Sim,Sim,Americana,  Econômico,174,22,7.0,67,Sim,Sim,58.58,28.0,55,Sim,Sim,34587.0,924,1603,Não,Não,Não,5.0
REST00938,Centro,Média,Sim,Sim,Árabe,Moderado,139,12,10.0,52,Sim,Sim,82.33,24.0,35,Sim,Não,45672.0,8,1622,Não,Sim,Sim,5.0
REST00057,Periferia,Média,Sim,Sim,Italiana,Moderado,199,21,17.0,68,Sim,Sim,56.66,25.0,120,Não,Não,23217.0,470,262,Não,Sim,Sim,4.18
REST00932,Centro,Média,Não,Não,Vegetariana,Moderado,143,4,4.0,90,Sim,Sim,51.09,17.0,12,Sim,Sim,33763.0,79,1172,Não,Não,Não,4.36
REST00980,Subúrbio,Baixa,Não,Não,Vegetariana,Moderado,95,30,9.0,83,Sim,Não,99.98,5.0,78,Sim,Sim,17975.0,881,298,Não,Não,Não,4.85
REST00644,Subúrbio,Média,Sim,Não,Brasileira,Moderado,181,6,13.0,47,Sim,Sim,92.15,21.0,71,Sim,Não,26777.0,315,116,Não,Não,Sim,5.0
REST02437,Subúrbio,Alta,Sim,Não,Americana,Moderado,164,7,2.0,21,Sim,Não,70.48,6.0,18,Não,Sim,37682.0,822,646,Não,Sim,Sim,4.58
