car_id,brand,model_year,mileage_km,fuel_type,engine_size_liters,horsepower,transmission,drivetrain,condition,previous_owners,accident_history,service_history,air_conditioning,power_steering,power_windows,airbags_count,abs_brakes,interior_material,sound_system,sunroof,parking_sensors,warranty_months,imported,color,price_brl
CAR00197,Chevrolet,2023,200861.0,Flex,1.4,102.0,Manual,Dianteira,Excelente,1.0,Sem acidentes,Sem histórico,Sim,Sim,Sim,8.0,Sim,Tecido,Premium,Não,Sim,9.0,Não,Cinza,21086
CAR00987,Honda,2021,9994.0,Diesel,2.0,92.0,Automática,Dianteira,Bom,3.0,Sem acidentes,Completo,Sim,Sim,Sim,3.0,Sim,Couro Sintético,Multimídia,Não,Não,36.0,Sim,Azul,99872
CAR01091,Hyundai,2015,212746.0,Diesel,1.8,155.0,Automática,Dianteira,Regular,5.0,2+ acidentes,Completo,Não,Sim,Sim,1.0,Sim,Couro Legítimo,Premium,Sim,Não,9.0,Sim,Branco,15987
CAR00388,Fiat,2010,220516.0,Etanol,1.0,139.0,Automática,Traseira,Bom,3.0,Sem acidentes,Parcial,Sim,Sim,Sim,0.0,Sim,Couro Legítimo,Multimídia,Não,Sim,15.0,Sim,Prata,8000
CAR02222,Fiat,2018,166081.0,Flex,1.4,203.0,Automática,Dianteira,Regular,3.0,Sem acidentes,Completo,Sim,Sim,Sim,5.0,Sim,Tecido,Básico,Não,Não,4.0,Não,Branco,27552
CAR00169,Toyota,2014,156385.0,Flex,1.8,195.0,Manual,Dianteira,Bom,4.0,Sem acidentes,Completo,Sim,Sim,Sim,6.0,Sim,Tecido,Básico,Não,Sim,23.0,Não,Branco,22579
CAR01379,Fiat,2015,44350.0,Diesel,1.4,283.0,Manual,Dianteira,Bom,5.0,Sem acidentes,Completo,Sim,Sim,Sim,6.0,Sim,Tecido,Básico,Não,Não,34.0,Não,Preto,45858
CAR02463,Chevrolet,2016,220834.0,Etanol,1.4,119.0,Manual,Dianteira,Regular,3.0,Sem acidentes,Parcial,Sim,Não,Sim,2.0,Não,Couro Sintético,Básico,Não,Sim,2.0,Não,Prata,8000
CAR00706,Chevrolet,2013,19924.0,Gasolina,1.8,298.0,Manual,Dianteira,Bom,1.0,2+ acidentes,Sem histórico,Sim,Sim,Sim,6.0,Sim,Tecido,Básico,Não,Não,33.0,Não,Prata,10286
CAR02077,Fiat,2023,173735.0,Flex,2.0,167.0,Manual,Dianteira,Excelente,4.0,1 acidente leve,Parcial,Sim,Sim,Sim,0.0,Sim,Couro Sintético,Multimídia,Não,Não,6.0,Não,Vermelho,17648
CAR01849,Ford,2011,118776.0,Flex,2.0,299.0,Manual,Dianteira,Excelente,4.0,1 acidente leve,Completo,Não,Sim,Sim,2.0,Não,Tecido,Multimídia,Não,Não,34.0,Não,Vermelho,12157
CAR01412,Fiat,2024,150787.0,Gasolina,1.3,209.0,CVT,Dianteira,Bom,1.0,1 acidente leve,Completo,Sim,Sim,Sim,2.0,Sim,Couro Legítimo,Multimídia,Não,Não,23.0,Não,Azul,63504
CAR00431,Ford,2011,164034.0,Etanol,3.0,213.0,Manual,Dianteira,Excelente,1.0,Sem acidentes,Parcial,Sim,Sim,Sim,2.0,Sim,Couro Legítimo,Multimídia,Não,Não,30.0,Não,Azul,10824
CAR02148,Chevrolet,2024,46247.0,Flex,1.8,105.0,Manual,Dianteira,Regular,1.0,Sem acidentes,Parcial,Sim,Sim,Sim,2.0,Sim,Tecido,Premium,Não,Não,7.0,Não,Vermelho,46422
CAR02493,Hyundai,2020,235636.0,Etanol,1.4,111.0,CVT,Dianteira,Bom,2.0,2+ acidentes,Parcial,Sim,Sim,Não,7.0,Sim,Couro Legítimo,Premium,Não,Não,36.0,Não,Prata,16836
CAR01620,Honda,2022,239196.0,Flex,1.6,83.0,CVT,Dianteira,Excelente,3.0,1 acidente leve,Parcial,Sim,Sim,Não,2.0,Não,Couro Sintético,Multimídia,Sim,Não,13.0,Não,Branco,27585
CAR00862,Chevrolet,2019,10520.0,Flex,1.8,127.0,Manual,Dianteira,Excelente,3.0,Sem acidentes,Completo,Não,Sim,Sim,1.0,Sim,Tecido,Multimídia,Sim,Não,23.0,Não,Prata,62089
CAR00283,Ford,2010,239821.0,Flex,1.4,133.0,Automática,Traseira,Regular,3.0,Sem acidentes,Completo,Sim,Sim,Sim,4.0,Não,Tecido,Multimídia,Não,Não,31.0,Não,Prata,8000
CAR01514,Honda,2020,164090.0,Flex,1.8,137.0,Manual,Dianteira,Regular,2.0,Sem acidentes,Parcial,Sim,Sim,Não,2.0,Sim,Tecido,Premium,Sim,Sim,15.0,Não,Azul,22798
CAR00650,Volkswagen,2019,196758.0,Diesel,1.3,138.0,CVT,Dianteira,Regular,1.0,Sem acidentes,Completo,Sim,Sim,Sim,8.0,Sim,Couro Legítimo,Multimídia,Não,Não,16.0,Não,Prata,49024
CAR01076,Toyota,2023,177075.0,Diesel,1.6,186.0,Automatizada,Dianteira,Bom,4.0,Sem acidentes,Parcial,Sim,Sim,Sim,5.0,Sim,Tecido,Premium,Não,Não,33.0,Não,Azul,50152
CAR01356,Hyundai,2012,141285.0,Etanol,1.3,298.0,CVT,Dianteira,Regular,4.0,Sem acidentes,Completo,Sim,Sim,Sim,2.0,Sim,Tecido,Básico,Não,Sim,17.0,Sim,Cinza,13572
CAR01383,Honda,2020,158322.0,Flex,1.6,94.0,Manual,Dianteira,Bom,5.0,Sem acidentes,Completo,Sim,Sim,Não,8.0,Sim,Tecido,Premium,Sim,Não,14.0,Não,Azul,32879
CAR01088,Fiat,2019,229655.0,Gasolina,1.6,221.0,Manual,Traseira,Bom,2.0,1 acidente leve,Parcial,Sim,Sim,Sim,8.0,Não,Tecido,Premium,Não,Sim,24.0,Não,Cinza,10078
CAR02143,Volkswagen,2011,44531.0,Flex,2.4,146.0,Manual,Dianteira,Excelente,5.0,Sem acidentes,Completo,Sim,Sim,Sim,6.0,Sim,Couro Sintético,Básico,Não,Sim,7.0,Não,Branco,17332
CAR01217,Toyota,2023,177330.0,Gasolina,1.6,241.0,Automática,Dianteira,Bom,4.0,Sem acidentes,Sem histórico,Sim,Sim,Sim,3.0,Sim,Tecido,Multimídia,Não,Sim,33.0,Não,Branco,52688
CAR00938,Toyota,2016,63692.0,Gasolina,1.6,232.0,Automática,4x4,Bom,3.0,1 acidente leve,Completo,Sim,Sim,Sim,7.0,Sim,Couro Legítimo,Premium,Não,Não,11.0,Sim,Preto,99668
CAR00057,Honda,2023,33328.0,Flex,1.4,174.0,Manual,Traseira,Excelente,5.0,Sem acidentes,Parcial,Sim,Sim,Não,0.0,Não,Tecido,Básico,Sim,Sim,33.0,Não,Branco,83136
CAR00932,Honda,2021,42158.0,Diesel,1.8,245.0,Manual,Dianteira,Bom,3.0,1 acidente leve,Parcial,Sim,Sim,Sim,1.0,Não,Couro Legítimo,Multimídia,Não,Não,5.0,Não,Prata,70662
CAR00980,Hyundai,2016,16676.0,Gasolina,1.4,104.0,Automática,Dianteira,Bom,1.0,2+ acidentes,Parcial,Sim,Sim,Sim,0.0,Sim,Tecido,Básico,Não,Sim,0.0,Não,Prata,8000
CAR00644,Ford,2012,83513.0,Flex,1.3,201.0,Manual,Dianteira,Bom,1.0,Sem acidentes,Completo,Sim,Sim,Não,8.0,Sim,Tecido,Básico,Sim,Não,3.0,Não,Azul,24919
CAR02437,Toyota,2013,94312.0,Flex,1.4,295.0,Manual,Dianteira,Bom,4.0,Sem acidentes,Parcial,Sim,Sim,Sim,7.0,Sim,Tecido,Básico,Não,Não,7.0,Não,Branco,19768
CAR00045,Volkswagen,2011,144883.0,Gasolina,1.0,129.0,Manual,Dianteira,Regular,1.0,Sem acidentes,Parcial,Sim,Sim,Não,5.0,Sim,Tecido,Multimídia,Não,Não,25.0,Não,Azul,8000
CAR01463,Fiat,2019,21351.0,Diesel,1.3,183.0,Manual,Dianteira,Bom,5.0,1 acidente leve,Completo,Sim,Sim,Sim,7.0,Sim,Couro Sintético,Premium,Não,Não,17.0,Não,Azul,49268
CAR01201,Honda,2014,17391.0,Flex,1.3,103.0,Automática,Dianteira,Regular,3.0,1 acidente leve,Parcial,Sim,Não,Sim,3.0,Não,Tecido,Básico,Não,Sim,5.0,Sim,Preto,32118
CAR01778,Toyota,2018,211373.0,Flex,1.8,109.0,CVT,Traseira,Excelente,2.0,Sem acidentes,Completo,Sim,Sim,Não,4.0,Sim,Tecido,Básico,Não,Sim,9.0,Não,Azul,32546
CAR00354,Volkswagen,2022,230091.0,Etanol,1.4,76.0,Manual,Traseira,Bom,4.0,1 acidente leve,Sem histórico,Sim,Sim,Sim,7.0,Não,Tecido,Básico,Não,Sim,26.0,Não,Branco,8000
CAR01927,Honda,2019,91207.0,Elétrico,1.4,94.0,Automática,4x4,Regular,3.0,Sem acidentes,Parcial,Sim,Sim,Sim,6.0,Sim,Couro Sintético,Básico,Sim,Sim,32.0,Não,Prata,87835
CAR00458,Hyundai,2023,154363.0,Flex,1.6,221.0,Manual,Dianteira,Excelente,5.0,Sem acidentes,Sem histórico,Sim,Sim,Sim,1.0,Não,Couro Sintético,Premium,Não,Não,13.0,Não,Vermelho,8000
CAR00176,Volkswagen,2024,211803.0,Gasolina,1.6,79.0,Automática,Dianteira,Bom,2.0,Sem acidentes,Parcial,Sim,Sim,Sim,1.0,Sim,Couro Sintético,Multimídia,Não,Não,30.0,Não,Cinza,37432
CAR00766,Fiat,2021,106948.0,Híbrido,1.3,245.0,Automática,Dianteira,Bom,4.0,Sem acidentes,Sem histórico,Sim,Sim,Sim,3.0,Sim,Tecido,Básico,Não,Não,30.0,Não,Branco,62432
CAR02151,  Hyundai,2016,230038.0,Gasolina,1.4,289.0,Automática,Dianteira,Regular,4.0,Sem acidentes,Parcial,Sim,Sim,Sim,1.0,Sim,Tecido,Premium,Não,Não,11.0,Não,Cinza,8000
CAR00480,Hyundai,2012,42327.0,Flex,1.6,276.0,Automática,Dianteira,Regular,4.0,Sem acidentes,Completo,Sim,Sim,Sim,2.0,Sim,Tecido,Multimídia,Não,Sim,14.0,Não,Azul,35675
CAR01568,Ford,2018,169109.0,Flex,1.6,217.0,Automática,Dianteira,Excelente,3.0,1 acidente leve,Parcial,Sim,Sim,Sim,1.0,Sim,Couro Sintético,Multimídia,Não,Não,6.0,Não,Cinza,25946
CAR01318,Volkswagen,2020,24288.0,Gasolina,1.3,133.0,Manual,Traseira,Excelente,4.0,Sem acidentes,Parcial,Sim,Sim,Sim,5.0,Sim,Couro Legítimo,Multimídia,Não,Sim,24.0,Não,Azul,63624
CAR01638,Ford,2017,220971.0,Etanol,1.4,115.0,Manual,Dianteira,Excelente,1.0,Sem acidentes,Parcial,Sim,Sim,Sim,6.0,Sim,Couro Legítimo,Multimídia,Não,Sim,5.0,Sim,Preto,10569
CAR02185,Honda,2013,163458.0,Diesel,2.4,177.0,Manual,Traseira,Regular,-1.0,Sem acidentes,Parcial,Sim,Sim,Sim,1.0,Não,Couro Sintético,Multimídia,Não,Não,17.0,Não,Preto,14030
CAR00809,Chevrolet,2023,131270.0,Gasolina,1.6,281.0,Automatizada,Dianteira,Regular,2.0,Sem acidentes,Parcial,Sim,Sim,Sim,7.0,Sim,Couro Sintético,Básico,Não,Não,14.0,Não,Prata,48245
CAR01566,Ford,2024,85059.0,Flex,1.0,234.0,Manual,Dianteira,Regular,1.0,1 acidente leve,Completo,Sim,Sim,Sim,5.0,Sim,Tecido,Básico,Não,Sim,26.0,Sim,Azul,63445
CAR00044,Fiat,2023,229490.0,Gasolina,1.4,173.0,Manual,Dianteira,Bom,4.0,1 acidente leve,Completo,Sim,Sim,Sim,4.0,Sim,Tecido,Básico,Não,Sim,0.0,Não,Vermelho,8000
CAR00451,Honda,2021,63002.0,Flex,1.4,111.0,Manual,Dianteira,Bom,5.0,2+ acidentes,Parcial,Sim,Sim,Não,0.0,Sim,Tecido,Básico,Não,Não,4.0,Não,Branco,8000
CAR00782,Hyundai,2018,36781.0,Flex,1.0,289.0,Manual,Traseira,Regular,1.0,Sem acidentes,Parcial,Sim,Sim,Sim,1.0,Sim,Couro Sintético,Multimídia,Não,Sim,17.0,Não,Branco,50456
CAR00325,Chevrolet,2017,221803.0,Gasolina,1.6,230.0,CVT,Dianteira,Bom,4.0,Sem acidentes,Parcial,Sim,Sim,Não,8.0,Não,Couro Legítimo,Básico,Não,Não,25.0,Não,Prata,19145
CAR00840,Toyota,2022,228861.0,Híbrido,1.8,292.0,Automática,Traseira,Excelente,4.0,Sem acidentes,Completo,Sim,Sim,Não,8.0,Sim,Tecido,Básico,Não,Não,29.0,Não,Branco,98744
CAR00757,Honda,2013,15751.0,Flex,1.4,126.0,Automática,Traseira,Excelente,4.0,2+ acidentes,Sem histórico,Sim,Não,Não,0.0,Sim,Tecido,Premium,Não,Não,10.0,Não,Vermelho,23482
CAR00974,Ford,2012,30963.0,Gasolina,1.6,220.0,CVT,Traseira,Bom,1.0,Sem acidentes,Completo,Sim,Sim,Sim,6.0,Sim,Tecido,Básico,Não,Não,25.0,Não,Prata,50869
CAR02298,Hyundai,2021,218456.0,Gasolina,1.4,201.0,Manual,Dianteira,Bom,2.0,Sem acidentes,Completo,Sim,Sim,Sim,5.0,Sim,Tecido,Multimídia,Não,Não,17.0,Sim,Azul,39798
