video_id,duration_minutes,title_length,description_length,tags_count,has_thumbnail_custom,video_quality,category,language,has_subtitles,channel_subscribers,channel_age_months,previous_videos_count,avg_upload_frequency_days,comments_count,likes_count,shares_count,playlist_adds,promoted,upload_time,upload_day,total_views
VID00197,3,53,589.0,34.0,Sim,720p,Fitness,Português,Não,474,,406,9,2804.0,5269,,624,Não,Tarde,Sexta,2219779
VID00987,60,95,,17.0,Não,720p,Culinária,Português,Não,899904,,25,14,9634.0,9448,1679.0,894,Sim,Tarde,Sexta,719904
VID01091,47,35,168.0,20.0,Não,1080p,Gaming,Espanhol,Não,761732,59.0,59,1,6943.0,34028,542.0,540,Não,Manhã,Seg-Qui,1420456
VID00388,8,12,260.0,4.0,Sim,1080p,Tecnologia,Português,Sim,154261,84.0,93,10,9427.0,42695,3096.0,188,Não,Madrugada,Sábado,329746
VID02222,56,94,648.0,48.0,Não,720p,Vlogs,Espanhol,Não,843352,6.0,205,13,2993.0,40761,311.0,957,Não,Manhã,Domingo,984985
VID00169,16,98,94.0,1.0,Sim,720p,Educação,Português,Não,212794,97.0,375,8,5108.0,33562,4814.0,821,Não,Manhã,Domingo,266178
VID01379,34,96,430.0,26.0,Sim,480p,Vlogs,Português,Sim,542998,56.0,367,12,5518.0,33442,1515.0,960,Não,Madrugada,Sábado,555307
VID02463,38,45,775.0,12.0,Sim,1080p,Tecnologia,Português,Sim,129571,116.0,370,10,7438.0,31157,1599.0,107,Não,Madrugada,Sábado,264052
VID00706,56,32,305.0,3.0,Não,1080p,Fitness,Português,Não,657109,15.0,253,18,3990.0,20654,3612.0,176,Não,Tarde,Seg-Qui,479746
VID02077,14,37,430.0,2.0,Sim,1080p,Educação,Português,Não,50350,20.0,273,6,9341.0,27868,1417.0,697,Não,Tarde,Seg-Qui,170439
VID01849,33,18,723.0,30.0,Sim,480p,Culinária,Português,Não,606183,6.0,154,20,1725.0,17368,1491.0,437,Não,Noite,Domingo,494000
VID01412,37,37,807.0,11.0,Não,1080p,Vlogs,Português,Não,48296,88.0,299,7,3546.0,1150,4206.0,20,Não,Noite,Sábado,122096
VID00431,42,69,765.0,49.0,Não,1080p,Educação,Português,Não,578623,4.0,2,25,508.0,39217,3317.0,369,Não,Madrugada,Sexta,421856
VID02148,41,30,355.0,29.0,Sim,720p,Gaming,Português,Sim,83046,4.0,253,5,4981.0,40527,4169.0,319,Não,Noite,Sexta,279129
VID02493,19,51,392.0,17.0,Sim,1080p,Gaming,Português,Não,176204,48.0,93,12,8560.0,1429,2633.0,241,Não,Noite,Sexta,329481
VID01620,44,90,,2.0,Sim,1080p,Gaming,Português,Sim,66573,12.0,407,11,4675.0,2419,1601.0,17,Sim,Manhã,Domingo,200108
VID00862,55,44,810.0,7.0,Sim,720p,Música,Português,Não,766132,48.0,65,1,4599.0,5968,1732.0,365,Não,Madrugada,Seg-Qui,1233997
VID00283,25,69,647.0,44.0,Sim,1080p,Música,Inglês,Sim,474140,45.0,14,28,18.0,27330,1960.0,262,Não,Tarde,Sábado,2076319
VID01514,7,15,776.0,6.0,Sim,480p,Educação,Inglês,Sim,140705,91.0,4,6,5570.0,9507,4354.0,574,Não,Noite,Sábado,455382
VID00650,11,82,483.0,12.0,Sim,720p,Música,Inglês,Sim,960950,107.0,319,28,1440.0,23691,2072.0,381,Não,Noite,Sábado,3907314
VID01076,52,30,866.0,31.0,Sim,720p,Educação,Inglês,Sim,64542,94.0,29,9,7995.0,4247,1932.0,136,Não,Manhã,Sábado,336576
VID01356,7,86,952.0,19.0,Sim,720p,Culinária,Português,Não,914791,51.0,78,21,187.0,5624,316.0,205,Não,Manhã,Sábado,646251
VID01383,11,91,99.0,18.0,Sim,480p,Culinária,Português,Não,55182,61.0,79,11,3038.0,10549,111.0,233,Não,Madrugada,Sexta,92928
VID01088,42,34,233.0,36.0,Sim,1080p,Fitness,Espanhol,Sim,705090,75.0,284,26,7121.0,25350,2496.0,415,Não,Tarde,Domingo,740987
VID02143,47,56,699.0,9.0,Sim,480p,Culinária,Português,Sim,602631,80.0,67,26,7056.0,25119,1711.0,246,Não,Tarde,Seg-Qui,537180
VID01217,38,39,352.0,47.0,Sim,1080p,Fitness,Português,Não,831753,114.0,271,11,5427.0,18245,3477.0,9,Não,Madrugada,Seg-Qui,666426
VID00938,34,46,811.0,0.0,Sim,720p,Música,Português,Sim,582808,40.0,188,18,5556.0,16362,2433.0,875,Sim,Manhã,Sábado,1021477
VID00057,26,29,675.0,49.0,Sim,4K,Vlogs,Inglês,Não,713236,17.0,41,9,3978.0,47487,1281.0,654,Não,Noite,Sexta,1778552
VID00932,26,80,394.0,38.0,Sim,720p,Culinária,Português,Não,973115,47.0,415,8,8129.0,1054,3417.0,632,Não,Madrugada,Sexta,750420
VID00980,40,31,321.0,28.0,Sim,480p,Educação,Português,Não,170999,97.0,451,21,2610.0,44763,2533.0,891,Não,Madrugada,Sexta,226235
VID00644,38,73,803.0,45.0,Sim,1080p,Fitness,Espanhol,Não,685891,36.0,11,1,8186.0,15103,1498.0,471,Não,Manhã,Seg-Qui,690147
VID02437,19,68,862.0,47.0,Sim,1080p,Culinária,Espanhol,Não,370277,95.0,214,24,9917.0,41882,1312.0,40,Sim,Manhã,Domingo,633259
VID00045,56,37,617.0,44.0,Não,1080p,Fitness,Português,Não,789843,96.0,475,28,4309.0,24970,4430.0,413,Não,Manhã,Sábado,640085
VID01463,24,33,251.0,37.0,Sim,4K,Tecnologia,Inglês,Sim,716916,85.0,412,21,92.0,34089,2200.0,320,Não,Manhã,Sexta,1976739
VID01201,7,37,814.0,21.0,Sim,4K,Fitness,Inglês,Não,513704,31.0,498,15,18.0,14913,911.0,537,Sim,Madrugada,Sábado,1111062
VID01778,36,50,430.0,2.0,Sim,4K,Culinária,Português,Sim,164905,30.0,105,3,4952.0,27058,4365.0,555,Não,Tarde,Sexta,272728
VID00354,34,53,145.0,24.0,Sim,1080p,Fitness,Português,Não,782270,42.0,63,26,9224.0,13372,4309.0,730,Não,Tarde,Seg-Qui,608321
VID01927,60,16,958.0,,Sim,720p,Vlogs,Português,Sim,832390,75.0,417,26,4304.0,18302,2017.0,564,Não,Manhã,Domingo,741331
VID00458,33,87,178.0,21.0,Sim,1080p,Educação,Inglês,Sim,670279,79.0,359,18,9128.0,30638,1340.0,354,Não,Tarde,Sexta,1243302
